time,EC_slab1,EC_slab2,WC_slab1,WC_slab2,t_slab1,t_slab2
43815.86,NaN,NaN,NaN,NaN,NaN,NaN
43815.87,NaN,NaN,NaN,NaN,NaN,NaN
43815.87,NaN,NaN,NaN,NaN,NaN,NaN
43815.88,NaN,NaN,NaN,NaN,NaN,NaN
43815.88,NaN,NaN,NaN,NaN,NaN,NaN
43815.88,NaN,NaN,NaN,NaN,NaN,NaN
43815.89,NaN,NaN,NaN,NaN,NaN,NaN
43815.89,NaN,NaN,NaN,NaN,NaN,NaN
43815.89,NaN,NaN,NaN,NaN,NaN,NaN
43815.90,NaN,NaN,NaN,NaN,NaN,NaN
43815.90,NaN,NaN,NaN,NaN,NaN,NaN
43815.90,NaN,NaN,NaN,NaN,NaN,NaN
43815.91,NaN,NaN,NaN,NaN,NaN,NaN
43815.91,NaN,NaN,NaN,NaN,NaN,NaN
43815.91,NaN,NaN,NaN,NaN,NaN,NaN
43815.92,NaN,NaN,NaN,NaN,NaN,NaN
43815.92,NaN,NaN,NaN,NaN,NaN,NaN
43815.92,NaN,NaN,NaN,NaN,NaN,NaN
43815.93,NaN,NaN,NaN,NaN,NaN,NaN
43815.93,NaN,NaN,NaN,NaN,NaN,NaN
43815.93,NaN,NaN,NaN,NaN,NaN,NaN
43815.94,NaN,NaN,NaN,NaN,NaN,NaN
43815.94,NaN,NaN,NaN,NaN,NaN,NaN
43815.94,NaN,NaN,NaN,NaN,NaN,NaN
43815.95,NaN,NaN,NaN,NaN,NaN,NaN
43815.95,NaN,NaN,NaN,NaN,NaN,NaN
43815.95,NaN,NaN,NaN,NaN,NaN,NaN
43815.96,NaN,NaN,NaN,NaN,NaN,NaN
43815.96,NaN,NaN,NaN,NaN,NaN,NaN
43815.97,NaN,NaN,NaN,NaN,NaN,NaN
43815.97,NaN,NaN,NaN,NaN,NaN,NaN
43815.97,NaN,NaN,NaN,NaN,NaN,NaN
43815.98,NaN,NaN,NaN,NaN,NaN,NaN
43815.98,NaN,NaN,NaN,NaN,NaN,NaN
43815.98,NaN,NaN,NaN,NaN,NaN,NaN
43815.99,NaN,NaN,NaN,NaN,NaN,NaN
43815.99,NaN,NaN,NaN,NaN,NaN,NaN
43815.99,NaN,NaN,NaN,NaN,NaN,NaN
43816.00,NaN,NaN,NaN,NaN,NaN,NaN
43816.00,NaN,NaN,NaN,NaN,NaN,NaN
43816.00,NaN,NaN,NaN,NaN,NaN,NaN
43816.01,NaN,NaN,NaN,NaN,NaN,NaN
43816.01,NaN,NaN,NaN,NaN,NaN,NaN
43816.01,NaN,NaN,NaN,NaN,NaN,NaN
43816.02,NaN,NaN,NaN,NaN,NaN,NaN
43816.02,NaN,NaN,NaN,NaN,NaN,NaN
43816.02,NaN,NaN,NaN,NaN,NaN,NaN
43816.03,NaN,NaN,NaN,NaN,NaN,NaN
43816.03,NaN,NaN,NaN,NaN,NaN,NaN
43816.03,NaN,NaN,NaN,NaN,NaN,NaN
43816.04,NaN,NaN,NaN,NaN,NaN,NaN
43816.04,NaN,NaN,NaN,NaN,NaN,NaN
43816.05,NaN,NaN,NaN,NaN,NaN,NaN
43816.05,NaN,NaN,NaN,NaN,NaN,NaN
43816.05,NaN,NaN,NaN,NaN,NaN,NaN
43816.06,NaN,NaN,NaN,NaN,NaN,NaN
43816.06,NaN,NaN,NaN,NaN,NaN,NaN
43816.06,NaN,NaN,NaN,NaN,NaN,NaN
43816.07,NaN,NaN,NaN,NaN,NaN,NaN
43816.07,NaN,NaN,NaN,NaN,NaN,NaN
43816.07,NaN,NaN,NaN,NaN,NaN,NaN
43816.08,NaN,NaN,NaN,NaN,NaN,NaN
43816.08,NaN,NaN,NaN,NaN,NaN,NaN
43816.08,NaN,NaN,NaN,NaN,NaN,NaN
43816.09,NaN,NaN,NaN,NaN,NaN,NaN
43816.09,NaN,NaN,NaN,NaN,NaN,NaN
43816.09,NaN,NaN,NaN,NaN,NaN,NaN
43816.10,NaN,NaN,NaN,NaN,NaN,NaN
43816.10,NaN,NaN,NaN,NaN,NaN,NaN
43816.10,NaN,NaN,NaN,NaN,NaN,NaN
43816.11,NaN,NaN,NaN,NaN,NaN,NaN
43816.11,NaN,NaN,NaN,NaN,NaN,NaN
43816.11,NaN,NaN,NaN,NaN,NaN,NaN
43816.12,NaN,NaN,NaN,NaN,NaN,NaN
43816.12,NaN,NaN,NaN,NaN,NaN,NaN
43816.13,NaN,NaN,NaN,NaN,NaN,NaN
43816.13,NaN,NaN,NaN,NaN,NaN,NaN
43816.13,NaN,NaN,NaN,NaN,NaN,NaN
43816.14,NaN,NaN,NaN,NaN,NaN,NaN
43816.14,NaN,NaN,NaN,NaN,NaN,NaN
43816.14,NaN,NaN,NaN,NaN,NaN,NaN
43816.15,NaN,NaN,NaN,NaN,NaN,NaN
43816.15,NaN,NaN,NaN,NaN,NaN,NaN
43816.15,NaN,NaN,NaN,NaN,NaN,NaN
43816.16,NaN,NaN,NaN,NaN,NaN,NaN
43816.16,NaN,NaN,NaN,NaN,NaN,NaN
43816.16,NaN,NaN,NaN,NaN,NaN,NaN
43816.17,NaN,NaN,NaN,NaN,NaN,NaN
43816.17,NaN,NaN,NaN,NaN,NaN,NaN
43816.17,NaN,NaN,NaN,NaN,NaN,NaN
43816.18,NaN,NaN,NaN,NaN,NaN,NaN
43816.18,NaN,NaN,NaN,NaN,NaN,NaN
43816.18,NaN,NaN,NaN,NaN,NaN,NaN
43816.19,NaN,NaN,NaN,NaN,NaN,NaN
43816.19,NaN,NaN,NaN,NaN,NaN,NaN
43816.19,NaN,NaN,NaN,NaN,NaN,NaN
43816.20,NaN,NaN,NaN,NaN,NaN,NaN
43816.20,NaN,NaN,NaN,NaN,NaN,NaN
43816.20,NaN,NaN,NaN,NaN,NaN,NaN
43816.21,NaN,NaN,NaN,NaN,NaN,NaN
43816.21,NaN,NaN,NaN,NaN,NaN,NaN
43816.22,NaN,NaN,NaN,NaN,NaN,NaN
43816.22,NaN,NaN,NaN,NaN,NaN,NaN
43816.22,NaN,NaN,NaN,NaN,NaN,NaN
43816.23,NaN,NaN,NaN,NaN,NaN,NaN
43816.23,NaN,NaN,NaN,NaN,NaN,NaN
43816.23,NaN,NaN,NaN,NaN,NaN,NaN
43816.24,NaN,NaN,NaN,NaN,NaN,NaN
43816.24,NaN,NaN,NaN,NaN,NaN,NaN
43816.24,NaN,NaN,NaN,NaN,NaN,NaN
43816.25,NaN,NaN,NaN,NaN,NaN,NaN
43816.25,NaN,NaN,NaN,NaN,NaN,NaN
43816.25,NaN,NaN,NaN,NaN,NaN,NaN
43816.26,NaN,NaN,NaN,NaN,NaN,NaN
43816.26,NaN,NaN,NaN,NaN,NaN,NaN
43816.26,NaN,NaN,NaN,NaN,NaN,NaN
43816.27,NaN,NaN,NaN,NaN,NaN,NaN
43816.27,NaN,NaN,NaN,NaN,NaN,NaN
43816.27,NaN,NaN,NaN,NaN,NaN,NaN
43816.28,NaN,NaN,NaN,NaN,NaN,NaN
43816.28,NaN,NaN,NaN,NaN,NaN,NaN
43816.28,NaN,NaN,NaN,NaN,NaN,NaN
43816.29,NaN,NaN,NaN,NaN,NaN,NaN
43816.29,NaN,NaN,NaN,NaN,NaN,NaN
43816.30,NaN,NaN,NaN,NaN,NaN,NaN
43816.30,NaN,NaN,NaN,NaN,NaN,NaN
43816.30,NaN,NaN,NaN,NaN,NaN,NaN
43816.31,NaN,NaN,NaN,NaN,NaN,NaN
43816.31,NaN,NaN,NaN,NaN,NaN,NaN
43816.31,NaN,NaN,NaN,NaN,NaN,NaN
43816.32,NaN,NaN,NaN,NaN,NaN,NaN
43816.32,NaN,NaN,NaN,NaN,NaN,NaN
43816.32,NaN,NaN,NaN,NaN,NaN,NaN
43816.33,NaN,NaN,NaN,NaN,NaN,NaN
43816.33,NaN,NaN,NaN,NaN,NaN,NaN
43816.33,NaN,NaN,NaN,NaN,NaN,NaN
43816.34,NaN,NaN,NaN,NaN,NaN,NaN
43816.34,NaN,NaN,NaN,NaN,NaN,NaN
43816.34,NaN,NaN,NaN,NaN,NaN,NaN
43816.35,NaN,NaN,NaN,NaN,NaN,NaN
43816.35,NaN,NaN,NaN,NaN,NaN,NaN
43816.35,NaN,NaN,NaN,NaN,NaN,NaN
