metric,control_target,role,full_spearman,full_pairwise_consistency,leave_one_model_spearman_min,leave_one_model_spearman_mean,leave_one_model_spearman_max,leave_one_model_pairwise_min,leave_one_model_pairwise_mean,leave_one_model_pairwise_max,leave_one_family_spearman_min,leave_one_family_spearman_mean,leave_one_family_spearman_max,leave_one_family_pairwise_min,leave_one_family_pairwise_mean,leave_one_family_pairwise_max
tair_weighted_horizon_mae,mpc_co2_mae,secondary_selection,0.3558823529411765,0.6166666666666667,0.2714285714285714,0.3542410714285714,0.5285714285714286,0.580952380952381,0.6166666666666667,0.6761904761904762,0.13736263736263735,0.3517232767232767,0.5285714285714286,0.5256410256410257,0.6160839160839161,0.6761904761904762
tair_weighted_horizon_mae,mpc_objective,offline_or_diagnostic_only,0.23823529411764705,0.5666666666666667,0.0964285714285714,0.2368303571428571,0.3714285714285714,0.5238095238095238,0.5666666666666667,0.6190476190476191,0.027472527472527472,0.23029470529470525,0.35824175824175825,0.47435897435897434,0.5644688644688644,0.6153846153846154
tair_full_horizon_mae,mpc_tair_mae,secondary_selection,0.5941176470588235,0.675,0.5285714285714286,0.5908482142857142,0.6714285714285713,0.638095238095238,0.675,0.7142857142857143,0.3681318681318681,0.5825924075924075,0.6714285714285713,0.5897435897435898,0.6731934731934732,0.7142857142857143
tair_full_horizon_mae,mpc_rhair_mae,secondary_selection,0.6529411764705881,0.7416666666666667,0.5857142857142856,0.6506696428571428,0.7249999999999999,0.7142857142857143,0.7416666666666667,0.780952380952381,0.4505494505494505,0.6391608391608391,0.7249999999999999,0.6666666666666666,0.7376623376623376,0.780952380952381
tair_full_horizon_mae,mpc_co2_mae,secondary_selection,0.3588235294117647,0.625,0.27499999999999997,0.35736607142857135,0.532142857142857,0.5904761904761905,0.625,0.6857142857142857,0.14285714285714285,0.35506993006993,0.532142857142857,0.5384615384615384,0.6246087246087246,0.6857142857142857
tair_full_horizon_mae,mpc_objective,offline_or_diagnostic_only,0.2441176470588235,0.575,0.10357142857142855,0.24285714285714283,0.37857142857142856,0.5333333333333333,0.575,0.6285714285714286,0.03296703296703297,0.2364885114885114,0.367032967032967,0.48717948717948717,0.5729936729936729,0.6263736263736264
tair_final_step_mae,mpc_tair_mae,secondary_selection,0.38823529411764707,0.6166666666666667,0.2928571428571428,0.38616071428571425,0.46071428571428563,0.580952380952381,0.6166666666666667,0.6476190476190476,0.03296703296703297,0.3742507492507492,0.46071428571428563,0.5128205128205128,0.6133533133533132,0.6476190476190476
tair_final_step_mae,mpc_rhair_mae,primary_selection,0.7264705882352941,0.8,0.6785714285714285,0.7247767857142856,0.8857142857142855,0.780952380952381,0.8,0.8666666666666667,0.6373626373626374,0.7178571428571429,0.8857142857142855,0.7564102564102564,0.7966366966366967,0.8666666666666667
tair_final_step_mae,mpc_co2_mae,offline_or_diagnostic_only,0.19117647058823528,0.5666666666666667,0.0857142857142857,0.19040178571428568,0.3607142857142856,0.5333333333333333,0.5666666666666667,0.6285714285714286,-0.14285714285714285,0.17999500499500495,0.34065934065934067,0.46153846153846156,0.5625707625707626,0.6190476190476191
tair_final_step_mae,mpc_objective,offline_or_diagnostic_only,0.18235294117647058,0.5666666666666667,0.039285714285714285,0.18169642857142854,0.34642857142857136,0.5142857142857142,0.5666666666666667,0.6285714285714286,0.021978021978021976,0.16880619380619377,0.2642857142857143,0.5,0.5632367632367632,0.6
