start_idx,predictor,objective_mean,objective_rank,co2_mae,co2_rank,tair_mae,rhair_mae
288,frequency_forecaster,1.0028731880399089,16,17.69248390197754,6,2.223971366882324,11.977751731872559
288,transformer_forecaster,0.15990982866302753,6,16.428409576416016,5,1.4166827201843262,5.36189603805542
288,current_hybrid_transformer,0.11334579688264057,5,24.306962966918945,10,0.8744583129882812,3.371330976486206
288,transformer_hybrid_residual,0.22043928173176633,10,27.2113094329834,12,2.2604334354400635,5.762807369232178
288,patchtst_residual,0.30892288727530587,13,25.866315841674805,11,2.9322080612182617,9.860695838928223
288,itransformer_residual,0.20653092030746242,9,9.779358863830566,1,2.039057493209839,4.123754024505615
288,itransformer_co2_residual,0.06575885217171162,1,10.535653114318848,2,0.8296559453010559,1.1783114671707153
288,itransformer_co2_late_residual,0.09369490580866113,4,20.651906967163086,9,1.3562935590744019,1.7179869413375854
288,itransformer_co2_late_frozen_expert,0.18062634649686515,8,12.142104148864746,3,2.2582056522369385,3.555741310119629
288,itransformer_co2_horizon_mixture,0.46447998960502446,15,19.116493225097656,8,3.5324056148529053,5.2181220054626465
288,itransformer_co2_control_aware_fusion,0.1774499631137587,7,12.213912963867188,4,2.2326583862304688,3.5945441722869873
384,dlinear_forecaster,0.1452412794266517,10,21.372909545898438,3,0.8681051135063171,1.883748173713684
384,nlinear_forecaster,0.12985178222879767,8,15.710652351379395,2,1.243870735168457,2.2224814891815186
384,gru_forecaster,0.1069249742043515,3,59.05390548706055,15,0.6416004300117493,4.642137050628662
384,lstm_forecaster,0.30091129220090806,15,63.14009094238281,16,0.8778121471405029,11.374018669128418
384,segrnn_forecaster,0.12147440171490113,7,33.3315544128418,9,0.6042219996452332,4.951673984527588
384,frequency_forecaster,0.6076247993235787,16,25.95848846435547,4,1.5092254877090454,6.703619003295898
384,transformer_forecaster,0.10155676914534222,2,32.86677169799805,8,0.3698984682559967,2.4574148654937744
384,current_hybrid_transformer,0.07866859164399405,1,30.87211036682129,6,0.5354613661766052,1.5298391580581665
384,transformer_hybrid_residual,0.11624590372472692,5,26.55120277404785,5,1.3245466947555542,2.3854377269744873
384,patchtst_residual,0.12031046076056857,6,36.69537353515625,10,0.6545232534408569,2.0342354774475098
384,itransformer_residual,0.13684801202422628,9,32.862525939941406,7,1.124923586845398,2.010078191757202
384,itransformer_co2_residual,0.11437331337947398,4,12.224579811096191,1,0.5243837833404541,1.8390642404556274
384,itransformer_co2_late_residual,0.15012649132404476,13,49.9254150390625,14,0.8849306106567383,1.2408944368362427
384,itransformer_co2_late_frozen_expert,0.14854012546129525,12,41.60671615600586,11,0.840516984462738,1.0737673044204712
384,itransformer_co2_horizon_mixture,0.14589230549366525,11,49.23880386352539,13,0.8121162056922913,0.9974152445793152
384,itransformer_co2_control_aware_fusion,0.15354598111783466,14,42.784061431884766,12,0.9310042262077332,1.3376483917236328
