profile,resource_weight,predictor,start_idx,steps,objective_mean,tair_mae,rhair_mae,co2_mae,estimated_heat_mj_m2,estimated_electricity_kwh_m2,estimated_co2_kg_m2,estimated_irrigation_l_m2,estimated_heat_cost_eur_m2,estimated_electricity_cost_eur_m2,estimated_co2_cost_eur_m2,estimated_total_resource_cost_eur_m2,trace_path,cost_change_vs_current_hybrid_pct
real_resource_w002,0.02,itransformer_co2_residual,288,96,0.07192034738060708,0.8482467532157898,1.196029543876648,11.179142951965332,0.0,0.0,0.03428098841116542,2.405090851249863,0.0,0.0,0.0027424790728932335,0.0027424790728932335,C:\repositories\strawberry\agc_mpc\results\control\summaries\itransformer_co2_residual_gradient_mpc_real_resource_w002_start00288_96steps_trace.json,-53.69733264345344
real_resource_w002,0.02,current_hybrid_transformer,384,96,0.08563588586791109,0.5500873923301697,1.5183779001235962,30.855697631835938,0.17578695561343496,0.199868943099145,0.03072666843349516,2.4414653602887055,0.0014590317315915102,0.0159895154479316,0.002458133474679613,0.019906680654202723,C:\repositories\strawberry\agc_mpc\results\control\summaries\current_hybrid_transformer_gradient_mpc_real_resource_w002_start00384_96steps_trace.json,0.0
real_resource_w002,0.02,itransformer_co2_residual,384,96,0.12121434300206602,0.5346196889877319,1.8125444650650024,11.772026062011719,0.15018604410522085,0.17305825033558703,0.03031951174200977,2.3338283861149822,0.001246544166073333,0.013844660026846962,0.0024255609393607817,0.017516765132281075,C:\repositories\strawberry\agc_mpc\results\control\summaries\itransformer_co2_residual_gradient_mpc_real_resource_w002_start00384_96steps_trace.json,-12.005595324688578
real_resource_w005,0.05,current_hybrid_transformer,0,96,0.06295225843011092,0.36286187171936035,1.1437994241714478,19.149316787719727,0.2596101876997652,0.005624921553251087,0.03503346200500876,2.3971710011551854,0.002154764557908051,0.0004335877030631046,0.002802676960400701,0.005391029221371857,C:\repositories\strawberry\agc_mpc\results\control\summaries\current_hybrid_transformer_gradient_mpc_real_resource_w005_start00000_96steps_trace.json,0.0
real_resource_w005,0.05,itransformer_co2_residual,0,96,0.06858298058311145,0.8810796737670898,1.428642749786377,7.084837436676025,0.012655873590474709,0.0,0.034213190346619834,2.334224499378749,0.00010504375080094009,0.0,0.002737055227729587,0.002842098978530527,C:\repositories\strawberry\agc_mpc\results\control\summaries\itransformer_co2_residual_gradient_mpc_real_resource_w005_start00000_96steps_trace.json,-47.2809576460189
real_resource_w005,0.05,current_hybrid_transformer,96,96,0.07359823545751472,0.5559989809989929,1.485997200012207,26.26410484313965,0.4321784683034953,0.20149549037212358,0.031958859883234964,2.5422962859096834,0.0035870812869190113,0.016119639229769885,0.002556708790658797,0.022263429307347694,C:\repositories\strawberry\agc_mpc\results\control\summaries\current_hybrid_transformer_gradient_mpc_real_resource_w005_start00096_96steps_trace.json,0.0
real_resource_w005,0.05,itransformer_co2_residual,96,96,0.07951025598837684,0.48585471510887146,0.5649707317352295,11.11861515045166,0.08153689959214956,0.10095808566968097,0.030233866093366327,2.0973480323752725,0.0006767562666148414,0.008076646853574478,0.0024187092874693064,0.011172112407658627,C:\repositories\strawberry\agc_mpc\results\control\summaries\itransformer_co2_residual_gradient_mpc_real_resource_w005_start00096_96steps_trace.json,-49.81854657956289
real_resource_w005,0.05,current_hybrid_transformer,192,96,0.057206606647620596,0.6049380898475647,0.9042714238166809,48.66615676879883,0.17395357872658856,0.07475534491757449,0.0,0.7584352780377648,0.001443814703430685,0.003208250219379239,0.0,0.004652064922809924,C:\repositories\strawberry\agc_mpc\results\control\summaries\current_hybrid_transformer_gradient_mpc_real_resource_w005_start00192_96steps_trace.json,0.0
real_resource_w005,0.05,itransformer_co2_residual,192,96,0.0643003269797191,0.38975557684898376,1.7315772771835327,11.11706829071045,0.0,0.19415910465719213,0.0018996586554484167,0.8699738118253375,0.0,0.008332661574871163,0.00015197269243587334,0.008484634267307035,C:\repositories\strawberry\agc_mpc\results\control\summaries\itransformer_co2_residual_gradient_mpc_real_resource_w005_start00192_96steps_trace.json,82.38426178674601
real_resource_w005,0.05,current_hybrid_transformer,288,96,0.1320816808147356,0.8653373718261719,3.306333303451538,24.25034523010254,0.17375780526254106,0.01315444108276987,0.03689909787939391,2.49452423596389,0.0014421897836790908,0.0010139881667968443,0.002951927830351513,0.005408105780827448,C:\repositories\strawberry\agc_mpc\results\control\summaries\current_hybrid_transformer_gradient_mpc_real_resource_w005_start00288_96steps_trace.json,0.0
real_resource_w005,0.05,itransformer_co2_residual,288,96,0.08009396928052108,0.8338630795478821,1.1559500694274902,12.077458381652832,0.0,0.0,0.034179010773348575,2.396691142989682,0.0,0.0,0.0027343208618678862,0.0027343208618678862,C:\repositories\strawberry\agc_mpc\results\control\summaries\itransformer_co2_residual_gradient_mpc_real_resource_w005_start00288_96steps_trace.json,-49.44032212606738
real_resource_w005,0.05,current_hybrid_transformer,384,96,0.09488614365303268,0.5404794812202454,1.467657208442688,31.313108444213867,0.13539718146990198,0.19710412102724734,0.03074678342233704,2.4267672705972476,0.0011237966062001864,0.015768329682179786,0.0024597426737869633,0.019351868962166938,C:\repositories\strawberry\agc_mpc\results\control\summaries\current_hybrid_transformer_gradient_mpc_real_resource_w005_start00384_96steps_trace.json,0.0
real_resource_w005,0.05,itransformer_co2_residual,384,96,0.14698927154919753,0.6683838963508606,2.385836601257324,13.49953842163086,0.10935209201420777,0.17242112337064586,0.03033150078722247,2.310461160980415,0.0009076223637179246,0.013793689869651668,0.0024265200629777976,0.01712783229634739,C:\repositories\strawberry\agc_mpc\results\control\summaries\itransformer_co2_residual_gradient_mpc_real_resource_w005_start00384_96steps_trace.json,-11.492619499271918
